B1,B2,B3,B4,B5,B6_VCID_2,B7,KODE2010,NDBI,NDVI,NDWI
46.77675837794664,42.90361986487134,37.455851639971335,73.00124150880626,42.102015419769266,184.34133053505133,25.32941373093746,3505130999,-0.3012630271478235,0.3630825559385195,-0.27923579039420815
33.93606741932281,28.656725861630868,23.186163759084973,55.644399420446966,28.462276041605346,186.9829819386084,15.511378188677847,3505120999,-0.34798486942302,0.43454655180995566,-0.32252547081850697
33.20463841341517,27.832544218504346,21.153626626503605,65.36537144608367,32.18569528481695,190.26808636358555,14.943109966687533,3505130008,-0.3596731830817052,0.5209363108206995,-0.39956864319895985
31.06862001646935,25.12199459150836,19.00409184789454,54.0174176258039,26.371253632196762,190.16017751205825,12.647616493550984,3505130009,-0.36771297023755145,0.4722978271969353,-0.3422144215002532
30.870678354994855,25.355707933710278,18.74235762501039,60.40445613359679,29.33764694652408,191.05948103376508,13.213590556841103,3505140007,-0.3678470522335757,0.5298545921214212,-0.3986177264326735
43.64227641997134,39.53738646189126,34.57699499180184,62.836797288379636,36.82803182519433,185.0213167036924,21.877162424120417,3505140999,-0.29897783794626553,0.3563217284308283,-0.2633297575407462
34.53692397960847,28.825453197687867,22.849869824085825,56.61527964113667,28.53161493318536,187.90048938285113,14.41483178007577,3505150999,-0.3469929097732921,0.446504772464665,-0.3303882827106877
30.7861970323947,25.9294661476815,19.51663846095054,65.02290804572596,32.70252213693783,189.85178678662248,14.818182587428604,3505170999,-0.3442065531548005,0.56105280529918,-0.43879448987413694
30.859806903709597,26.412616473203364,20.48943934744217,61.765082597563236,33.50562715751242,191.62317903278793,15.75504998138767,3505160009,-0.3070267040184774,0.513926198294483,-0.40189377256117564
43.568668575967735,40.61253290290734,34.48247664756574,76.85853237757178,43.80681618890491,189.22857571378557,23.72747742922054,3505150011,-0.30489407875058466,0.44110752552138754,-0.3457804871529716
40.97360875735719,37.9547919380667,31.51435477603933,75.96060175994118,42.73809562152674,190.57057891948722,22.268804826853035,3505150009,-0.31224142431917135,0.47664644475353013,-0.3710817777858743
32.916508001973476,28.300293976539237,21.55625588857601,68.80303766563246,33.97829402099507,190.59122739869713,15.538769646772193,3505150013,-0.36223802112706394,0.5475926298517961,-0.4231062548611689
28.181922004350103,23.283575965916096,16.583584387285658,62.475033622375044,30.360005745806248,191.5173320734162,12.982744682662332,3505150014,-0.3571304216388047,0.5680672286368107,-0.43821127946374894
29.081564476024077,25.226312915208855,18.43801807965206,66.11340050690234,35.08123841015878,193.70185937559341,15.48657348784453,3505150010,-0.3117253535863925,0.5571782378896789,-0.4360404646996107
32.51453562765522,27.547329275560823,21.074428467095494,63.17142067661441,32.42718548792305,191.19943460986687,15.246704115614973,3505150008,-0.3425139772755664,0.509525327414241,-0.38893271957673053
25.421599678297962,20.995199613138603,14.860063566546623,63.82706713601082,31.028191978739365,193.44724143740243,12.925883743166546,3505170011,-0.34718033959812894,0.6147366220381365,-0.4960077866386165
25.789458774403045,21.268563798248923,14.894908854054545,65.41469024881955,33.59662659703968,193.42656166812273,13.953025855486887,3505170009,-0.3196253581253308,0.6174238128843887,-0.4975402017387167
26.63502083814703,22.336134602828842,16.281067150892746,63.78843648224082,33.394093125952125,194.06121247623545,14.42271094369434,3505170008,-0.31163257902480657,0.5864927519173391,-0.47420022500895137
27.26723941531585,22.586182720330807,16.68705028815708,59.77728109535349,32.394579906130666,194.2173269602841,14.74932150303354,3505160008,-0.29854743005044226,0.5552399917670792,-0.4423078737429512
27.27422704990766,22.55233726523048,16.405528759377592,60.97731052840522,32.13687117854581,194.0682640912349,14.199893614987474,3505160007,-0.3119861977887722,0.5673233785639247,-0.4504903458283099
28.88187741828481,24.3456738882515,18.07468065389224,60.474895147101776,33.18210464943306,194.0399907158378,15.258385239721143,3505150001,-0.29779498878670185,0.5278190701651684,-0.4112328018393705
27.24402695329023,22.505074987297007,16.242059101073036,61.55456562959747,32.57213068025893,194.64128169764615,14.27383774558315,3505150007,-0.3098844424380906,0.5751557383602602,-0.4562674756969224
25.538367014539872,20.589972333310165,13.799863998235777,63.926979540981975,30.161374708572293,193.60784067822723,11.864466417022689,3505150012,-0.3659956087669263,0.6363397220455829,-0.5011323148001484
25.42967355673944,20.409248229383028,13.88983565492106,62.17930776597789,29.865637601434962,194.02361303563208,11.78424467351343,3505140008,-0.35255836011305447,0.626041714235374,-0.4962976892855656
25.5917454139327,20.097549933860215,13.278352519252447,65.25156270849564,30.078879687744656,193.34796715372258,11.46441643142515,3505140009,-0.37491155925447767,0.6498177772862054,-0.5149123842676798
