system:index,B1_p0,B1_p10,B1_p100,B1_p20,B1_p30,B1_p40,B1_p50,B1_p60,B1_p70,B1_p80,B1_p90,B2_p0,B2_p10,B2_p100,B2_p20,B2_p30,B2_p40,B2_p50,B2_p60,B2_p70,B2_p80,B2_p90,B3_p0,B3_p10,B3_p100,B3_p20,B3_p30,B3_p40,B3_p50,B3_p60,B3_p70,B3_p80,B3_p90,B4_p0,B4_p10,B4_p100,B4_p20,B4_p30,B4_p40,B4_p50,B4_p60,B4_p70,B4_p80,B4_p90,B5_p0,B5_p10,B5_p100,B5_p20,B5_p30,B5_p40,B5_p50,B5_p60,B5_p70,B5_p80,B5_p90,B6_VCID_2_p0,B6_VCID_2_p10,B6_VCID_2_p100,B6_VCID_2_p20,B6_VCID_2_p30,B6_VCID_2_p40,B6_VCID_2_p50,B6_VCID_2_p60,B6_VCID_2_p70,B6_VCID_2_p80,B6_VCID_2_p90,B7_p0,B7_p10,B7_p100,B7_p20,B7_p30,B7_p40,B7_p50,B7_p60,B7_p70,B7_p80,B7_p90,DESA,EVI_p0,EVI_p10,EVI_p100,EVI_p20,EVI_p30,EVI_p40,EVI_p50,EVI_p60,EVI_p70,EVI_p80,EVI_p90,IDSP2010,ID_TIPEWIL,KAB,KABDES,KABKOT,KEC,KECAMATAN,KODE2010,NAMA,NDBI_p0,NDBI_p10,NDBI_p100,NDBI_p20,NDBI_p30,NDBI_p40,NDBI_p50,NDBI_p60,NDBI_p70,NDBI_p80,NDBI_p90,NDVI_p0,NDVI_p10,NDVI_p100,NDVI_p20,NDVI_p30,NDVI_p40,NDVI_p50,NDVI_p60,NDVI_p70,NDVI_p80,NDVI_p90,NDWI_p0,NDWI_p10,NDWI_p100,NDWI_p20,NDWI_p30,NDWI_p40,NDWI_p50,NDWI_p60,NDWI_p70,NDWI_p80,NDWI_p90,PRODES,PROP,PROVINSI
0000166b874b938da263,22,24,38,25,26,26,27,27,27,28,29,17,20,34,21,21,22,22,23,23,24,25,11,14,34,15,16,17,17,18,19,20,22,21,38,88,42,45,47,50,52,55,58,64,10,19,60,23,25,27,30,32,34,37,40,190,194,201,194,195,195,195,195,196,197,199,4,8,39,10,11,12,13,15,17,21,25,5,-30,-2.68485738,315,-2.68485738,-2.68485738,-2.68485738,-1.371038137,-1.371038137,-1.371038137,-1.371038137,-1.371038137,3302740005,,2,3302000000,BANYUMAS,740,PURWOKERTO UTARA,3302740005,PABUARAN,-0.545454545,-0.404448967,0.156626506,-0.373096679,-0.346113065,-0.317709517,-0.291284152,-0.260242467,-0.209542833,-0.150324076,-0.067487877,0.1,0.302595174,0.757575758,0.361590977,0.412789018,0.447016809,0.482901263,0.507137939,0.533081251,0.560706122,0.605650028,-0.626168224,-0.486714493,0,-0.450826725,-0.420550374,-0.400104363,-0.381145496,-0.353085786,-0.323060625,-0.299032336,-0.249249095,3300000000,33,JAWA TENGAH
00000b71e84012e52e22,22,24,34,25,26,26,27,27,27,27,28,17,20,32,21,21,21,22,22,23,23,24,11,14,26,14,15,16,16,17,17,18,20,27,43,94,47,50,53,56,59,63,67,73,9,20,54,24,27,29,31,32,34,35,38,192,193,199,194,194,194,195,195,195,196,197,4,9,32,10,11,12,12,13,14,16,18,1,-120,-4.788488107,270,-2.808849753,-2.808849753,-2.808849753,-2.808849753,-2.808849753,-1.427773249,-1.427773249,-1.427773249,3302210001,,2,3302000000,BANYUMAS,210,SUMBANG,3302210001,KARANGGINTUNG,-0.55,-0.400305668,-0.024390244,-0.377349169,-0.357556278,-0.341555529,-0.325939887,-0.306666322,-0.283420505,-0.252857755,-0.209359013,0.173913043,0.40815863,0.76344086,0.454650774,0.48554843,0.516881307,0.549069326,0.576429531,0.6,0.626220938,0.666666667,-0.660377358,-0.541254107,-0.08,-0.51111035,-0.487085289,-0.462659795,-0.435870144,-0.408316682,-0.381465451,-0.353203143,-0.311536074,3300000000,33,JAWA TENGAH
00009b2dec9cb031f042,21,24,37,25,26,26,27,27,27,28,29,15,19,33,20,21,21,22,22,23,24,24,10,13,31,14,15,16,16,17,18,19,21,16,36,81,41,44,46,49,51,54,58,63,7,18,53,21,22,24,25,27,29,32,36,193,193,199,194,194,195,195,195,195,196,197,3,8,31,9,9,10,11,12,14,16,20,2,-15.45454545,-3.156992599,-0.101010101,-2.469041684,-2.159438129,-1.911662483,-1.653666241,-1.465722146,-1.217322218,-1.027356976,-0.781581388,3302200002,,2,3302000000,BANYUMAS,200,BATURRADEN,3302200002,KUTASARI,-0.576923077,-0.428571429,0.114285714,-0.404406081,-0.38558766,-0.365110192,-0.342384254,-0.310767546,-0.267039899,-0.205315941,-0.135565369,0.08,0.302096839,0.744186047,0.380862376,0.428571429,0.463291807,0.5,0.524770266,0.556152321,0.588418292,0.630871461,-0.612244898,-0.505904444,0.018181818,-0.462790295,-0.436333014,-0.408447026,-0.381180739,-0.357598653,-0.323124609,-0.291250599,-0.220338983,3300000000,33,JAWA TENGAH
00004ac95d0362baa2e8,22,24,35,26,26,27,27,28,28,29,29,17,20,33,21,22,22,23,23,24,24,25,11,14,31,15,16,17,17,18,19,20,22,28,39,92,43,45,48,50,53,57,62,69,12,18,64,22,24,27,30,32,35,37,39,192,193,199,194,194,195,195,195,195,196,197,5,8,33,10,11,12,13,15,17,19,23,3,-115,-4.211858533,11.78571429,-3.214322166,-2.250569406,-2.250569406,-1.741936511,-1.741936511,-1.249485962,-1.249485962,-0.824840501,3302200003,,2,3302000000,BANYUMAS,200,BATURRADEN,3302200003,PANDAK,-0.510204082,-0.404208241,0.033707865,-0.381377187,-0.357829923,-0.333333333,-0.310158288,-0.26793998,-0.231900294,-0.185110976,-0.123634161,0.169811321,0.344784313,0.76344086,0.384615385,0.428571429,0.454545455,0.485734236,0.517154163,0.548861913,0.584087255,0.630996545,-0.660377358,-0.505195031,-0.127272727,-0.470447082,-0.435843272,-0.404104213,-0.381285972,-0.352818035,-0.32442461,-0.303434609,-0.272150072,3300000000,33,JAWA TENGAH
0000d4e2dd5444a520cb,21,24,31,25,26,27,27,27,27,28,28,17,20,30,21,21,22,22,22,23,23,24,11,14,27,15,15,16,16,17,17,18,19,28,43,98,47,50,52,55,57,60,63,69,9,21,63,23,25,26,28,30,31,34,37,188,193,200,194,194,194,195,195,195,196,197,5,8,30,10,10,11,11,12,13,15,21,4,-55,-4.227262193,34,-3.238822362,-2.755736366,-2.247237854,-2.247237854,-1.749535116,-1.749535116,-1.279765685,-1.279765685,3302200004,,2,3302000000,BANYUMAS,200,BATURRADEN,3302200004,PAMIJEN,-0.56097561,-0.41964045,0,-0.40074268,-0.385115533,-0.369355793,-0.353617679,-0.333333333,-0.306641973,-0.263789131,-0.162222041,0.208333333,0.408411067,0.731958763,0.447246802,0.485213199,0.514544987,0.537276042,0.555873373,0.589340821,0.61571395,0.654332317,-0.6,-0.530074993,-0.094339623,-0.494002886,-0.46662873,-0.446924186,-0.42482887,-0.4,-0.377781178,-0.351113002,-0.311994413,3300000000,33,JAWA TENGAH
0000e58fb46f33d1fcf7,21,24,37,25,26,26,27,27,28,28,29,16,19,34,20,21,22,22,23,23,24,25,9,13,33,14,15,16,17,17,18,19,21,23,42,93,46,49,52,55,58,62,66,73,8,22,59,25,27,29,31,32,34,36,39,192,193,201,194,194,195,195,195,196,197,198,4,9,39,10,11,12,12,14,16,19,23,5,-83.75,-4.792649056,34,-3.746043481,-3.25166046,-2.743964755,-2.253433728,-2.253433728,-1.761416499,-1.761416499,-1.290388629,3302200005,,2,3302000000,BANYUMAS,200,BATURRADEN,3302200005,REMPOAH,-0.555555556,-0.4120078,0.073170732,-0.388978012,-0.369340017,-0.34921585,-0.325796971,-0.295112818,-0.256097298,-0.19320003,-0.114548315,0.142857143,0.357320739,0.78,0.424110356,0.470622128,0.5,0.533386403,0.560513506,0.6,0.643034362,0.693066828,-0.660377358,-0.561114842,-0.083333333,-0.51719402,-0.482360273,-0.451032009,-0.424887795,-0.400069047,-0.373056337,-0.342807086,-0.294892732,3300000000,33,JAWA TENGAH
0000fcd8aac94c712b0d,23,25,31,26,27,27,27,27,28,28,29,18,21,29,21,22,23,23,23,24,24,25,13,15,26,16,17,18,18,19,19,20,21,25,40,82,44,47,48,50,52,56,59,64,8,19,60,21,24,26,28,30,32,34,36,192,193,200,194,195,195,195,195,195,196,197,4,8,27,10,11,11,12,13,14,16,19,9,-100,-3.445075264,36.875,-2.427668957,-2.427668957,-2.427668957,-1.513103493,-1.513103493,-1.513103493,-1.513103493,-1.513103493,3302210009,,2,3302000000,BANYUMAS,210,SUMBANG,3302210009,KAWUNGCARANG,-0.529411765,-0.397080296,-0.027027027,-0.372803472,-0.353770077,-0.333333333,-0.317468782,-0.298524157,-0.275769901,-0.24100832,-0.18153796,0.173913043,0.353767082,0.720430108,0.393065527,0.419914473,0.440105774,0.463585711,0.485698277,0.517788381,0.549016606,0.595117951,-0.59223301,-0.482463791,-0.08,-0.442981657,-0.41650983,-0.392145394,-0.372367714,-0.352635763,-0.333333333,-0.314190216,-0.283300479,3300000000,33,JAWA TENGAH
0000980070573519597b,24,26,37,27,27,27,27,27,28,28,29,16,21,29,22,22,22,23,23,24,24,25,11,15,26,16,16,17,17,18,19,19,20,18,42,88,45,47,50,52,55,58,61,65,8,21,63,24,26,28,30,31,33,34,36,182,193,199,194,194,194,195,195,195,195,196,3,10,31,11,11,12,13,13,14,16,18,8,-42.14285714,-3.397896797,102.5,-2.408610219,-2.408610219,-2.408610219,-1.502039752,-1.502039752,-1.502039752,-1.502039752,-1.502039752,3302210008,,2,3302000000,BANYUMAS,210,SUMBANG,3302210008,KEBANGGAN,-0.529411765,-0.369133757,0.012345679,-0.346180892,-0.325607669,-0.314408858,-0.298637725,-0.279215424,-0.259908882,-0.23666488,-0.19412519,0.16,0.376035946,0.7,0.419543519,0.454812677,0.477860165,0.5,0.521167242,0.545647798,0.56867423,0.6,-0.559633028,-0.482291055,-0.058823529,-0.455511664,-0.432211844,-0.416394803,-0.391945797,-0.372792903,-0.350952582,-0.323294328,-0.291367359,3300000000,33,JAWA TENGAH
0000cf60a0296eefe5fb,23,25,33,26,26,27,27,27,27,28,28,18,21,32,21,21,22,22,22,23,23,24,11,14,25,15,15,16,16,17,17,18,19,31,48,89,50,53,56,58,60,63,66,70,11,23,63,26,29,30,31,32,33,34,36,193,193,198,194,194,194,195,195,195,195,196,5,10,28,11,11,12,13,13,14,16,18,10,-230,-4.667637148,95,-2.762020197,-2.762020197,-2.762020197,-2.762020197,-2.762020197,-1.570303648,-1.570303648,-1.570303648,3302210010,,2,3302000000,BANYUMAS,210,SUMBANG,3302210010,DATAR,-0.509433962,-0.397665108,-0.086419753,-0.371787239,-0.354332529,-0.340653078,-0.321238069,-0.303864742,-0.282422376,-0.258767906,-0.221351358,0.25,0.432977967,0.728395062,0.477535217,0.507144385,0.536349711,0.558398461,0.578947368,0.6,0.623529412,0.657894737,-0.603603604,-0.533659546,-0.148148148,-0.505487481,-0.481756878,-0.465849555,-0.447872555,-0.424920889,-0.402798931,-0.378378378,-0.342858197,3300000000,33,JAWA TENGAH
000068542a7caf9f9aa6,22,26,34,26,27,27,27,28,28,28,29,18,21,29,21,22,22,23,23,24,24,25,11,14,29,15,16,16,17,17,18,19,20,28,45,92,50,53,56,59,62,65,68,73,11,23,62,27,29,31,32,34,35,36,39,186,193,200,194,194,194,195,195,195,195,195,5,10,40,11,12,13,13,14,15,16,18,13,-67,-4.253217156,47.14285714,-3.248348207,-3.248348207,-2.734576635,-2.257798563,-2.257798563,-1.751686755,-1.751686755,-1.286738751,3302210013,,2,3302000000,BANYUMAS,210,SUMBANG,3302210013,BANTERAN,-0.531914894,-0.380993197,0.113402062,-0.357315647,-0.341358496,-0.326121898,-0.310597287,-0.291475793,-0.275665537,-0.252891079,-0.220838058,0.206349206,0.408151859,0.745098039,0.458278133,0.5,0.52559081,0.552521024,0.579808871,0.608556811,0.635286514,0.674466473,-0.617021277,-0.545923149,-0.122807018,-0.512318281,-0.488780358,-0.465857904,-0.442406672,-0.417423524,-0.392146899,-0.360601758,-0.313903395,3300000000,33,JAWA TENGAH
